describe,introduce,invaluate,movie_name,serial_number,star
天使保护事件始末。,2007/印度/剧情儿童家庭,100752人评价,地球上的星星,198,8.9
谁说王家卫镜头很晃？,2004/美国德国/动作悬疑惊悚,187551人评价,谍影重重2,199,8.6
故事的反转与反转，分裂电影的始祖。,1960/美国/悬疑惊悚恐怖,100601人评价,惊魂记,200,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993/香港/剧情奇幻古装,262552人评价,青蛇,201,8.5
一场没有春天的噩梦。,2000/美国/剧情,128323人评价,梦之安魂曲,202,8.7
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003/美国澳大利亚/动作科幻,186190人评价,黑客帝国3：矩阵革命,203,8.6
宝莱坞的萝莉与大叔。,2015/印度/剧情喜剧动作,210249人评价,小萝莉的猴神大叔,204,8.5
爱我就给我看你的播放列表。,2013/美国/喜剧爱情音乐,206301人评价,再次出发之纽约遇见你,205,8.5
是枝裕和的家庭习作。,2015/日本/剧情家庭,169644人评价,海街日记,206,8.7
嬉笑怒骂，调风动月。,1992/香港中国大陆/剧情动作武侠古装,219164人评价,新龙门客栈,207,8.5
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008/日本/剧情家庭,108262人评价,步履不停,208,8.8
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,1953/日本/剧情家庭,61367人评价,东京物语,209,9.2
少见的超越首部的续集，动作片中的经典。,1991/美国法国/动作科幻,165657人评价,终结者2：审判日,210,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011/美国加拿大/科幻悬疑惊悚,461136人评价,源代码,211,8.4
黑小鸭速效美白记。,2010/泰国/剧情喜剧爱情,537871人评价,初恋这件小事,212,8.3
天使暂时离开。,1999/美国/犯罪剧情奇幻悬疑,124466人评价,绿里奇迹,213,8.7
永远的小人物，伟大的卓别林。,1931/美国/喜剧剧情爱情,54171人评价,城市之光,214,9.2
没有了退路，只好飞向自由。,1991/美国法国/犯罪剧情惊悚,120797人评价,末路狂花,215,8.7
中国版《两杆大烟枪》。,2006/中国大陆香港/喜剧犯罪,374764人评价,疯狂的石头,216,8.3
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013/美国/剧情爱情,138726人评价,爱在午夜降临前,217,8.8
昆汀同学越来越变态了，比北野武还杜琪峰。,2009/美国德国/剧情犯罪,255461人评价,无耻混蛋,218,8.5
青春就是放弃和怀念。,2007/日本/动画剧情爱情,353248人评价,秒速5厘米,219,8.3
科幻真正的魅力不是视觉效果能取代的。 ,2007/美国/剧情科幻,211616人评价,这个男人来自地球,220,8.5
类型片的极致。 ,1996/美国/动作冒险,161108人评价,勇闯夺命岛,221,8.6
生病的E.T.皮肤的颜色就像柿子饼。,1982/美国/剧情科幻,180058人评价,E.T. 外星人,222,8.5
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,1997/美国/动作科幻犯罪惊悚,242392人评价,变脸,223,8.4
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,1988/法国美国意大利/剧情爱情,115675人评价,碧海蓝天,224,8.7
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,1942/美国/剧情爱情战争,141731人评价,卡萨布兰卡,225,8.6
最棒的西部片。,1966/意大利西班牙西德/冒险西部,60709人评价,黄金三镖客,226,9.1
我完全康复了。,1971/英国美国/犯罪剧情科幻,209379人评价,发条橙,227,8.5
小成本大魅力。,2013/美国英国/科幻悬疑惊悚,222492人评价,彗星来的那一夜,228,8.4
新闻人的理性求真。,2015/美国/剧情传记,150145人评价,聚焦,229,8.8
每个美丽事物背后都是滴血的现实。,2006/美国德国/剧情惊悚冒险,158809人评价,血钻,230,8.6
生命不止，摇滚不死。,2009/英国德国法国/剧情喜剧音乐,181278人评价,海盗电台,231,8.6
每个人的内心都是深不可测的大海。 ,1999/美国/剧情爱情家庭,210270人评价,美国丽人,232,8.5
我不信仰上帝，但我敬畏上帝。,1995/德国美国/剧情犯罪悬疑惊悚,137533人评价,非常嫌疑犯,233,8.6
皇上无话儿。,2010/英国澳大利亚美国/剧情传记历史,386761人评价,国王的演讲,234,8.3
出门必备：本草纲目。,2007/美国/冒险传记剧情,144935人评价,荒野生存,235,8.6
"In memory, love lives forever...",1996/美国英国/爱情剧情战争,192640人评价,英国病人,236,8.5
还原真实而残酷的战争。,2001/美国/动作历史战争,139136人评价,黑鹰坠落,237,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,2011/韩国/剧情爱情,69692人评价,我爱你,238,9.0
最美的飞翔。,2001/法国德国意大利西班牙瑞士/纪录片,56632人评价,迁徙的鸟,239,9.1
用剩余不多的时间，去燃烧整个生命。,2007/美国/冒险喜剧剧情,154604人评价,遗愿清单,240,8.5
一部能引人思考的科幻励志片。,1997/美国/剧情科幻惊悚,105617人评价,千钧一发,241,8.7
热血沸腾，相当完美的娱乐拳击大餐。,2011/美国/剧情运动家庭,97512人评价,勇士,242,8.9
一个人的独角戏。,2000/美国/冒险剧情,158211人评价,荒岛余生,243,8.5
现代科幻电影的开山之作，最伟大导演的最伟大影片。,1968/英国美国/科幻惊悚冒险,113870人评价,2001太空漫游,244,8.7
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,1999/香港/剧情动作犯罪,115034人评价,枪火,245,8.7
现实与童话交相辉映的旅程。,1996/日本/犯罪剧情,116448人评价,燕尾蝶,246,8.6
乐观比一切都有力量。,2008/美国/剧情传记,121647人评价,叫我第一名,247,8.6
大卫·林奇的梦境迷宫。,2001/法国美国/剧情悬疑惊悚,263903人评价,穆赫兰道,248,8.3
